id_clave,id_area,contador_clave,valor_clave
295,4,9,CTV-COM-009
296,4,10,CTV-COM-010
297,4,11,CTV-COM-011
298,4,12,CTV-COM-012
299,4,13,CTV-COM-013
300,4,14,CTV-COM-014
301,4,15,CTV-COM-015
302,4,16,CTV-COM-016
303,4,17,CTV-COM-017
304,4,18,CTV-COM-018
305,4,19,CTV-COM-019
306,4,20,CTV-COM-020
307,4,21,CTV-COM-021
308,4,22,CTV-COM-022
309,4,23,CTV-COM-023
310,4,24,CTV-COM-024
311,4,25,CTV-COM-025
312,4,26,CTV-COM-026
313,4,27,CTV-COM-027
314,4,28,CTV-COM-028
315,4,29,CTV-COM-029
316,4,30,CTV-COM-030
317,4,31,CTV-COM-031
318,4,32,CTV-COM-032
319,4,33,CTV-COM-033
320,4,34,CTV-COM-034
321,4,35,CTV-COM-035
322,4,36,CTV-COM-036
323,4,37,CTV-COM-037
324,4,38,CTV-COM-038
325,4,39,CTV-COM-039
326,4,40,CTV-COM-040
327,4,41,CTV-COM-041
328,4,42,CTV-COM-042
329,4,43,CTV-COM-043
330,4,44,CTV-COM-044
331,4,45,CTV-COM-045
332,4,46,CTV-COM-046
333,4,47,CTV-COM-047
334,4,48,CTV-COM-048
335,3,1,CTV-ALM-001
336,3,2,CTV-ALM-002
337,3,3,CTV-ALM-003
338,3,4,CTV-ALM-004
339,3,5,CTV-ALM-005
340,3,6,CTV-ALM-006
341,3,7,CTV-ALM-007
342,3,8,CTV-ALM-008
343,3,9,CTV-ALM-009
344,3,10,CTV-ALM-010
345,3,11,CTV-ALM-011
346,3,12,CTV-ALM-012
347,3,13,CTV-ALM-013
348,3,14,CTV-ALM-014
349,3,15,CTV-ALM-015
350,3,16,CTV-ALM-016
351,3,17,CTV-ALM-017
352,3,18,CTV-ALM-018
353,3,19,CTV-ALM-019
354,3,20,CTV-ALM-020
355,3,21,CTV-ALM-021
356,3,22,CTV-ALM-022
357,3,23,CTV-ALM-023
358,3,24,CTV-ALM-024
359,3,25,CTV-ALM-025
360,3,26,CTV-ALM-026
361,3,27,CTV-ALM-027
362,3,28,CTV-ALM-028
363,3,29,CTV-ALM-029
364,3,30,CTV-ALM-030
365,3,31,CTV-ALM-031
366,3,32,CTV-ALM-032
367,3,33,CTV-ALM-033
368,3,34,CTV-ALM-034
369,3,35,CTV-ALM-035
370,3,36,CTV-ALM-036
371,3,37,CTV-ALM-037
372,3,38,CTV-ALM-038
373,3,39,CTV-ALM-039
374,3,40,CTV-ALM-040
375,3,41,CTV-ALM-041
376,3,42,CTV-ALM-042
377,3,43,CTV-ALM-043
378,3,47,CTV-ALM-047
379,3,48,CTV-ALM-048
380,3,49,CTV-ALM-049
381,3,50,CTV-ALM-050
382,6,1,CTV-HRR-001
383,6,2,CTV-HRR-002
384,6,3,CTV-HRR-003
385,6,4,CTV-HRR-004
386,6,5,CTV-HRR-005
387,6,6,CTV-HRR-006
388,6,7,CTV-HRR-007
389,6,8,CTV-HRR-008
390,6,9,CTV-HRR-009
391,6,10,CTV-HRR-010
392,6,11,CTV-HRR-011
393,6,12,CTV-HRR-012
394,6,13,CTV-HRR-013
395,6,14,CTV-HRR-014
396,6,15,CTV-HRR-015
397,6,16,CTV-HRR-016
398,6,17,CTV-HRR-017
399,6,18,CTV-HRR-018
400,6,19,CTV-HRR-019
401,6,20,CTV-HRR-020
402,6,21,CTV-HRR-021
403,6,22,CTV-HRR-022
404,6,23,CTV-HRR-023
405,6,24,CTV-HRR-024
406,6,25,CTV-HRR-025
407,6,26,CTV-HRR-026
408,6,27,CTV-HRR-027
409,6,28,CTV-HRR-028
410,6,29,CTV-HRR-029
411,6,30,CTV-HRR-030
412,6,31,CTV-HRR-031
413,6,32,CTV-HRR-032
414,6,33,CTV-HRR-033
415,6,34,CTV-HRR-034
416,6,35,CTV-HRR-035
417,6,36,CTV-HRR-036
418,6,37,CTV-HRR-037
419,6,38,CTV-HRR-038
420,6,39,CTV-HRR-039
421,6,40,CTV-HRR-040
422,6,41,CTV-HRR-041
423,6,42,CTV-HRR-042
424,6,43,CTV-HRR-043
425,6,44,CTV-HRR-044
426,6,45,CTV-HRR-045
427,6,46,CTV-HRR-046
428,6,47,CTV-HRR-047
429,6,48,CTV-HRR-048
430,6,49,CTV-HRR-049
431,6,50,CTV-HRR-050
432,6,51,CTV-HRR-051
433,6,52,CTV-HRR-052
434,6,53,CTV-HRR-053
435,6,54,CTV-HRR-054
436,6,55,CTV-HRR-055
437,6,56,CTV-HRR-056
438,6,57,CTV-HRR-057
439,6,58,CTV-HRR-058
440,6,59,CTV-HRR-059
441,7,1,CTV-HIG-001
442,7,2,CTV-HIG-002
443,7,3,CTV-HIG-003
444,7,4,CTV-HIG-004
445,7,5,CTV-HIG-005
446,7,6,CTV-HIG-006
447,7,7,CTV-HIG-007
448,7,8,CTV-HIG-008
449,7,9,CTV-HIG-009
450,8,1,CTV-UNI-001
451,8,2,CTV-UNI-002
452,8,3,CTV-UNI-003
453,8,4,CTV-UNI-004
454,8,5,CTV-UNI-005
455,8,6,CTV-UNI-006
456,8,7,CTV-UNI-007
457,8,8,CTV-UNI-008
458,8,9,CTV-UNI-009
459,8,10,CTV-UNI-010
460,8,11,CTV-UNI-011
461,8,12,CTV-UNI-012
462,8,13,CTV-UNI-013
463,8,14,CTV-UNI-014
464,8,15,CTV-UNI-015
465,8,16,CTV-UNI-016
466,8,17,CTV-UNI-017
467,8,18,CTV-UNI-018
468,8,19,CTV-UNI-019
469,8,20,CTV-UNI-020
470,8,21,CTV-UNI-021
471,8,22,CTV-UNI-022
472,8,23,CTV-UNI-023
473,8,24,CTV-UNI-024
474,8,25,CTV-UNI-025
475,8,26,CTV-UNI-026
